Image,Target Image,Similarity
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (194).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,36.43107712268829
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (195).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.76620626449585
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (196).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,57.65475630760193
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (197).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,38.26240003108978
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (198).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,37.1900349855423
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (199).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,21.368512511253357
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (2).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,30.41861355304718
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (20).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.159435868263245
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (200).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,39.29932415485382
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (201).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,41.94945991039276
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (202).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.69149374961853
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (203).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,38.80579173564911
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (204).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,28.08862030506134
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (205).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,40.06912410259247
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (206).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.93350088596344
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (207).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.944347858428955
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (208).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,42.75311529636383
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (209).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.153692960739136
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (21).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,35.18015444278717
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (210).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,59.936732053756714
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (211).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,44.23551857471466
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (212).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,46.149370074272156
C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1 (213).jpg,C:\Users\sam\Desktop\user\Pictures\Pattern_Image\1.jpg,26.852065324783325
